"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1824","存在しないページにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される","","Tue Nov 25 06:58:12 UTC 2025","passed","Tue Nov 25 06:58:14 UTC 2025","","一般的なエラーテスト","",""
"","2226","Webサイトを開きログインする","","Tue Nov 25 06:58:14 UTC 2025","passed","Tue Nov 25 06:58:16 UTC 2025","","スモークテスト","",""
